state,capital,latitude,longitude,population,seal,income
Alabama,Montgomery,32.377716,-86.300568,4893186,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Seal_of_Alabama.svg/180px-Seal_of_Alabama.svg.png,51734
Alaska,Juneau,58.301598,-134.420212,736990,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/State_Seal_of_Alaska.svg/180px-State_Seal_of_Alaska.svg.png,75463
Arizona,Phoenix,33.448143,-112.096962,7174064,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/State_Seal_of_Arizona.svg/179px-State_Seal_of_Arizona.svg.png,62055
Arkansas,Little Rock,34.746613,-92.288986,3011873,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Seal_of_Arkansas.svg/180px-Seal_of_Arkansas.svg.png,48952
California,Sacramento,38.576668,-121.493629,39346023,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Seal_of_California.svg/180px-Seal_of_California.svg.png,80440
Colorado,Denver,39.739227,-104.984856,5684926,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_Colorado.svg/180px-Seal_of_Colorado.svg.png,77127
Connecticut,Hartford,41.764046,-72.682198,3570549,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Seal_of_Connecticut.svg/140px-Seal_of_Connecticut.svg.png,78833
Delaware,Dover,39.157307,-75.519722,967679,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Seal_of_Delaware.svg/180px-Seal_of_Delaware.svg.png,70176
Hawaii,Honolulu,21.307442,-157.857376,1420074,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Seal_of_the_State_of_Hawaii.svg/180px-Seal_of_the_State_of_Hawaii.svg.png,83102
Florida,Tallahassee,30.438118,-84.281296,21216924,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Seal_of_Florida.svg/180px-Seal_of_Florida.svg.png,59227
Georgia,Atlanta,33.749027,-84.388229,10516579,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_Georgia.svg/180px-Seal_of_Georgia.svg.png,61980
Idaho,Boise,43.617775,-116.199722,1754367,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Seal_of_Idaho.svg/180px-Seal_of_Idaho.svg.png,60999
Illinois,Springfield,39.798363,-89.654961,12716164,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Seal_of_Illinois.svg/180px-Seal_of_Illinois.svg.png,69187
Indiana,Indianapolis,39.768623,-86.162643,6696893,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/State_Seal_of_Indiana.svg/180px-State_Seal_of_Indiana.svg.png,57603
Iowa,Des Moines,41.591087,-93.603729,3150011,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/State_Seal_of_Iowa.svg/179px-State_Seal_of_Iowa.svg.png,61691
Kansas,Topeka,39.048191,-95.677956,2912619,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Seal_of_Kansas.svg/180px-Seal_of_Kansas.svg.png,62087
Kentucky,Frankfort,38.186722,-84.875374,4461952,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Seal_of_Kentucky.svg/180px-Seal_of_Kentucky.svg.png,52955
Louisiana,Baton Rouge,30.457069,-91.187393,4664616,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Seal_of_Louisiana.svg/180px-Seal_of_Louisiana.svg.png,51072
Maine,Augusta,44.307167,-69.781693,1340825,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Seal_of_Maine.svg/180px-Seal_of_Maine.svg.png,58924
Maryland,Annapolis,38.978764,-76.490936,6037624,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_Maryland_%28reverse%29.svg/180px-Seal_of_Maryland_%28reverse%29.svg.png,86738
Massachusetts,Boston,42.358162,-71.063698,6873003,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Seal_of_Massachusetts.svg/180px-Seal_of_Massachusetts.svg.png,85843
Michigan,Lansing,42.733635,-84.555328,9973907,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Seal_of_Michigan.svg/180px-Seal_of_Michigan.svg.png,59584
Minnesota,St. Paul,44.955097,-93.102211,5600166,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/State_Seal_of_Minnesota.svg/180px-State_Seal_of_Minnesota.svg.png,74593
Mississippi,Jackson,32.303848,-90.182106,2981835,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Seal_of_Mississippi_%282014%E2%80%93present%29.svg/180px-Seal_of_Mississippi_%282014%E2%80%93present%29.svg.png,45792
